movies,categories,run_time,total_comb,tested_comb
22,10,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
28,4,"[30, 30]","[268435456, 268435456]","[213725440, 213725440]"
24,9,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
24,8,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
28,5,"[30, 30]","[268435456, 268435456]","[233779905, 233779905]"
26,8,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
28,7,"[30, 30]","[268435456, 268435456]","[258722051, 258722051]"
28,6,"[30, 30]","[268435456, 268435456]","[234415617, 234415617]"
26,9,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
28,2,"[30, 30]","[268435456, 268435456]","[268435456, 268435456]"
22,9,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
22,8,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
28,3,"[30, 30]","[268435456, 268435456]","[234337258, 234337258]"
28,1,"[30, 30]","[268435456, 268435456]","[268435456, 268435456]"
20,8,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,10,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,9,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
27,8,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
29,7,"[30, 30]","[536870912, 536870912]","[265365164, 265365164]"
29,6,"[30, 30]","[536870912, 536870912]","[245767520, 245767520]"
27,9,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
25,9,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
29,4,"[30, 30]","[536870912, 536870912]","[320758411, 320758411]"
29,5,"[30, 30]","[536870912, 536870912]","[324826084, 324826084]"
25,8,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
24,10,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
28,10,"[30, 30]","[268435456, 268435456]","[228910537, 228910537]"
21,8,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
29,1,"[30, 30]","[536870912, 536870912]","[403379130, 403379130]"
26,10,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
21,9,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
23,9,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
29,2,"[30, 30]","[536870912, 536870912]","[350942263, 350942263]"
29,3,"[30, 30]","[536870912, 536870912]","[216323101, 216323101]"
23,8,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
21,7,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
23,5,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
25,3,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
27,1,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
25,2,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,4,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
21,6,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
21,4,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
23,6,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
27,2,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
27,3,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
23,10,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
25,1,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,7,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
21,5,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
21,1,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
23,3,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
25,5,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
27,7,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
29,8,"[30, 30]","[536870912, 536870912]","[230966610, 230966610]"
29,9,"[30, 30]","[536870912, 536870912]","[215367387, 215367387]"
27,6,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
25,4,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,2,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
21,10,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
21,2,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
25,6,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
27,4,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
27,5,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
25,7,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
23,1,"[30, 30]","[8388608, 8388608]","[8388608, 8388608]"
21,3,"[30, 30]","[2097152, 2097152]","[2097152, 2097152]"
26,2,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
25,10,"[30, 30]","[33554432, 33554432]","[33554432, 33554432]"
22,6,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
29,10,"[30, 30]","[536870912, 536870912]","[229547711, 229547711]"
20,4,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,5,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
